,id,HotelName,sponsor,event,venue,City&Country,measurements,occasion,notes,call_number,keywords,language,date,place,place_type,currency,currency_symbol,status,page_count,dish_count
7828,25014,,V. FORTWENGLER,BILL OF FARE,COMMERCIAL,"(3 WILLIAM ST., NEW YORK, NY)",BROADSHEET; 5.25X9.25;,OTHER (DAILY MENU);,A LA CARTE MENU; EXTENSIVE PRICED WINE LIST; (PLACE INFO SUPPLIED BY FLB);,1900-640,,,1900-01-31,V. Fortwengler,,Dollars,$,complete,2,233
10043,27526,,"U.S.M.S. Philadelphia, Menu.",Menu,,,,,,1910-943 Item C,,,1910-03-18,"U.S.M.S. Philadelphia, Menu.",,,,complete,2,95
13434,31017,,"S.S. ""Normandie""""""",,,,22x13.5cm folded; 22x27cm open,,French Line,1938-0175_wotm,,,1938-11-06,"S.S. ""Normandie""""""",,,,complete,3,48
6361,23159,,HARVARD CLUB OF MARYLAND,14NTH ANNUAL DINNER,EDUC;,"ST. JAMES HOTEL,BALTIMORE, MD",FOLDER; ILLUS; COL; RIBBON TRIM; 4 X 5.5;,ANNIVERSARYERSARY,WINES LISTED; ALL TOASTS LISTED; LIST OF OFFICERS INCLUDED;,1898-O98,,,1898-02-19,Harvard Club Of Maryland,,,,complete,4,23
6896,23818,,SAINT NICHOLAS SOCIETY,DINNER,SOC;,DELMONICO'S NY,BOOKLET JOINED BY SILK RIBBON; ILLUS; COL; 4.5 X 7;,?,WINE LIST & PRICES ON SEPARATE PAGE;,1899-799,,,1899-12-06,Saint Nicholas Society,,Dollars,$,complete,4,47
13719,31309,,The Ambassador,,,,33x23cm  ,,,1933-0092_wotm,,,1933-03-05,The Ambassador,,Dollars,$,complete,2,231
17145,34983,Bay Shore House,Bay Shore House,,,,,,City Island Board of Trade,1913-0210_wotm,,,1913-02-21,Bay Shore House,,,,complete,7,16
5954,22661,,MUSICA DEGLI ALLIEVI CARACINIERI,DINNER,MUSICAL,"ROME,ITALY",BOOKLET;ILLUS;4X6;,?,PROGRAM DIRECTED BY SIGNOR CAIOLI LUIGO;MENU IN FRENCH;,1891-023,,,1891-02-22,Musica Degli Allievi Caracinieri,,,,complete,4,18
7160,24152,,DR. H. G. SHERMAN,DINNER FOR DR. G.C.WEBER AND FRIENDS,SOC;,"UNION CLUB, CLEVELAND, OH",CARD; 3 X 5.75;,COMPLIMENTARY/TESTIMONIAL,PRESCRIPTION FORMAT; WINES;,1897-267,,,1897-09-15,Dr. H. G. Sherman,,,,complete,2,25
14469,32073,Hotel Astor,Hotel Astor,,,,15x10cm folded; 15x20cm open,,The Academy of Political Science,1919-0091_wotm,,,1919-11-21,Hotel Astor,,,,complete,12,16
13290,30841,,S.S. Manhattan,,,,25x18cm folded; 25x36cm open,,,1938-0004_wotm,,,1938-01-02,S.S. Manhattan,,,,complete,3,91
4427,20783,,NIPPON YUSEN KAISHA,DINNER,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,BROADSHEET; COL; ILLUS; 10.25 X 9.5;,DAILY MENU;,HANDWRITTEN; COLOR ILLUSTRAION OF CHILDREN CARRYING LANTERNS AND LARGE DRUM;  MAP OF STEAMSHIP ROUTES ON BACK;,1900-4808,,,1900-10-26,Nippon Yusen Kaisha,,,,complete,2,12
14401,32003,Hotel Astor,Hotel Astor,,,,26.5x17cm,,luncheon,1919-0052_wotm,,,1919-05-29,Hotel Astor,,Dollars,$,complete,2,129
121,12603,,,,,,,,,,,,1900-04-18,Manhattan Hotel,,Dollars,$,complete,2,121
13199,30749,,Waldorf Astoria,,,,18x13cm folded; 18x26cm open,,The Maine Society of New York,1935-0061_wotm,,,1935-12-12,Waldorf Astoria,,,,complete,4,10
11376,28888,,Miller Bros.,,,,38x21.5cm folded; 38x43cm open,,,1962-0025_wotm,,,1962-05-16,Miller Bros.,,Dollars,$,complete,6,392
5999,22718,,TAMPA BAY HOTEL,LUNCH,COMMERCIAL,"TAMPA,FLA.",BROADSIDE; COL; 4.5 X 7;,,,1901-251,,,1901-02-03,Tampa Bay Hotel,,,,complete,2,48
13092,30640,,"R.M.S. ""Queen Mary""""""",,,,19x14cm folded; 19x28cm open,,,1937-0115_wotm,,,1937-06-09,"R.M.S. ""Queen Mary""""""",,,,complete,2,23
13470,31057,,Hotel Pierre,,,,20x12.5cm,,,1933-0131_wotm,,,1933-05-13,Hotel Pierre,,,,complete,1,20
627,13263,,NEW STATE HOUSE,NOONDAY MEAL,COMMERCIAL,"WACO,TX",CARD; ILLUS; 4.5 X 7.5;,,PHOTO OF AUSTIN STREET LOOKING NORTH IN WACO;,1900-3951,,,1900-07-27,New State House,,,,complete,2,26
